알고리즘,데이터셋 유형,데이터 크기,평균 실행 시간(ms),비교 횟수,할당 횟수,메모리 사용량(바이트),이론적 안정성,측정된 안정성
Bubble Sort,무작위,1000,0.00,498759,742002,4005,안정,안정
Bubble Sort,부분 정렬,1000,0.00,499364,278700,4005,안정,안정
Bubble Sort,역순 정렬,1000,1.00,499500,1498500,4005,안정,안정
Bubble Sort,정렬됨(내림차순),1000,1.00,499500,1498500,4005,안정,안정
Bubble Sort,정렬됨(오름차순),1000,0.00,999,0,4005,안정,안정
Cocktail Sort,무작위,1000,0.00,378222,742002,4000,안정,안정
Cocktail Sort,부분 정렬,1000,0.00,175890,278700,4000,안정,안정
Cocktail Sort,역순 정렬,1000,0.00,499500,1498500,4000,안정,안정
Cocktail Sort,정렬됨(내림차순),1000,0.00,499500,1498500,4000,안정,안정
Cocktail Sort,정렬됨(오름차순),1000,0.00,999,0,4000,안정,안정
Comb Sort,무작위,1000,0.00,22709,13332,4000,불안정,불안정
Comb Sort,부분 정렬,1000,0.00,22709,10962,4000,불안정,불안정
Comb Sort,역순 정렬,1000,0.00,19712,4746,4000,불안정,불안정
Comb Sort,정렬됨(내림차순),1000,0.00,19712,4746,4000,불안정,불안정
Comb Sort,정렬됨(오름차순),1000,0.00,18713,0,4000,불안정,불안정
Heap Sort,무작위,1000,0.00,16869,27210,4000,불안정,불안정
Heap Sort,부분 정렬,1000,0.00,17205,28302,4000,불안정,불안정
Heap Sort,역순 정렬,1000,0.00,15965,24948,4000,불안정,불안정
Heap Sort,정렬됨(내림차순),1000,0.00,15965,24948,4000,불안정,불안정
Heap Sort,정렬됨(오름차순),1000,0.00,17583,29124,4000,불안정,불안정
Insertion Sort,무작위,1000,0.00,248323,249332,4008,안정,안정
Insertion Sort,부분 정렬,1000,0.00,93899,94898,4008,안정,안정
Insertion Sort,역순 정렬,1000,0.00,499500,501498,4008,안정,안정
Insertion Sort,정렬됨(내림차순),1000,0.00,499500,501498,4008,안정,안정
Insertion Sort,정렬됨(오름차순),1000,0.00,999,1998,4008,안정,안정
Intro Sort,무작위,1000,0.00,10475,17305,4000,불안정,불안정
Intro Sort,부분 정렬,1000,0.00,10533,13841,4000,불안정,불안정
Intro Sort,역순 정렬,1000,0.00,16542,27566,4000,불안정,불안정
Intro Sort,정렬됨(내림차순),1000,0.00,16542,27566,4000,불안정,불안정
Intro Sort,정렬됨(오름차순),1000,0.00,6942,10881,4000,불안정,불안정
Library Sort,무작위,1000,1.00,8208,181577,12000,안정,안정
Library Sort,부분 정렬,1000,0.00,999,1002,12000,안정,안정
Library Sort,역순 정렬,1000,1.00,8977,501500,12000,안정,안정
Library Sort,정렬됨(내림차순),1000,1.00,8977,501500,12000,안정,안정
Library Sort,정렬됨(오름차순),1000,0.00,999,1002,12000,안정,안정
Merge Sort,무작위,1000,0.00,8704,19952,8000,안정,안정
Merge Sort,부분 정렬,1000,0.00,8549,19952,8000,안정,안정
Merge Sort,역순 정렬,1000,0.00,4932,19952,8000,안정,안정
Merge Sort,정렬됨(내림차순),1000,0.00,4932,19952,8000,안정,안정
Merge Sort,정렬됨(오름차순),1000,0.00,5044,19952,8000,안정,안정
Quick Sort,무작위,1000,0.00,10158,19039,4120,불안정,불안정
Quick Sort,부분 정렬,1000,0.00,16527,23491,4120,불안정,불안정
Quick Sort,역순 정렬,1000,0.00,499500,752496,4120,불안정,불안정
Quick Sort,정렬됨(내림차순),1000,0.00,499500,752496,4120,불안정,불안정
Quick Sort,정렬됨(오름차순),1000,0.00,499500,1502496,4120,불안정,불안정
Selection Sort,무작위,1000,1.00,499500,2976,4008,불안정,불안정
Selection Sort,부분 정렬,1000,1.00,499500,1260,4008,불안정,불안정
Selection Sort,역순 정렬,1000,1.00,499500,1500,4008,불안정,불안정
Selection Sort,정렬됨(내림차순),1000,1.00,499500,1500,4008,불안정,불안정
Selection Sort,정렬됨(오름차순),1000,1.00,499500,0,4008,불안정,불안정
Tim Sort,무작위,1000,0.00,13300,19422,24000,안정,안정
Tim Sort,부분 정렬,1000,0.00,10318,16426,24000,안정,안정
Tim Sort,역순 정렬,1000,0.00,17844,27340,24000,안정,안정
Tim Sort,정렬됨(내림차순),1000,0.00,17844,27340,24000,안정,안정
Tim Sort,정렬됨(오름차순),1000,0.00,3528,11936,24000,안정,안정
Tournament Sort,무작위,1000,0.00,11023,16071,32564,불안정,불안정
Tournament Sort,부분 정렬,1000,0.00,11023,16071,32564,불안정,불안정
Tournament Sort,역순 정렬,1000,0.00,11023,16071,32564,불안정,불안정
Tournament Sort,정렬됨(내림차순),1000,0.00,11023,16071,32564,불안정,불안정
Tournament Sort,정렬됨(오름차순),1000,0.00,11023,16071,32564,불안정,불안정
