Algorithm,Dataset Type,Data Size,Average Execution Time(ms),Comparisons,Assignments,Memory Usage(bytes),Theoretical Stability,Measured Stability
Bubble Sort,Partially Sorted,1000,4.00,499364,278700,4005,Stable,Stable
Bubble Sort,Partially Sorted,10000,420.40,49968894,28462095,40005,Stable,Stable
Bubble Sort,Random,1000,7.00,498759,742002,4005,Stable,Stable
Bubble Sort,Random,10000,675.10,49991760,75551493,40005,Stable,Stable
Bubble Sort,Reverse Sorted,1000,8.80,499500,1498500,4005,Stable,Stable
Bubble Sort,Reverse Sorted,10000,754.20,49995000,149985000,40005,Stable,Stable
Bubble Sort,Sorted(Asc),1000,0.00,999,0,4005,Stable,Stable
Bubble Sort,Sorted(Asc),10000,0.00,9999,0,40005,Stable,Stable
Bubble Sort,Sorted(Desc),1000,8.00,499500,1498500,4005,Stable,Stable
Bubble Sort,Sorted(Desc),10000,745.00,49995000,149985000,40005,Stable,Stable
Cocktail Sort,Partially Sorted,1000,2.00,175890,278700,4000,Stable,Stable
Cocktail Sort,Partially Sorted,10000,192.20,16877409,28462095,40000,Stable,Stable
Cocktail Sort,Random,1000,6.00,378222,742002,4000,Stable,Stable
Cocktail Sort,Random,10000,516.50,37958129,75551493,40000,Stable,Stable
Cocktail Sort,Reverse Sorted,1000,8.00,499500,1498500,4000,Stable,Stable
Cocktail Sort,Reverse Sorted,10000,740.90,49995000,149985000,40000,Stable,Stable
Cocktail Sort,Sorted(Asc),1000,0.00,999,0,4000,Stable,Stable
Cocktail Sort,Sorted(Asc),10000,0.00,9999,0,40000,Stable,Stable
Cocktail Sort,Sorted(Desc),1000,8.30,499500,1498500,4000,Stable,Stable
Cocktail Sort,Sorted(Desc),10000,754.10,49995000,149985000,40000,Stable,Stable
Comb Sort,Partially Sorted,1000,0.00,22709,10962,4000,Unstable,Unstable
Comb Sort,Partially Sorted,10000,3.00,326734,168846,40000,Unstable,Unstable
Comb Sort,Random,1000,0.00,22709,13332,4000,Unstable,Unstable
Comb Sort,Random,10000,3.00,336733,190047,40000,Unstable,Unstable
Comb Sort,Reverse Sorted,1000,0.00,19712,4746,4000,Unstable,Unstable
Comb Sort,Reverse Sorted,10000,1.00,286738,60234,40000,Unstable,Unstable
Comb Sort,Sorted(Asc),1000,0.00,18713,0,4000,Unstable,Unstable
Comb Sort,Sorted(Asc),10000,1.00,276739,0,40000,Unstable,Unstable
Comb Sort,Sorted(Desc),1000,0.00,19712,4746,4000,Unstable,Unstable
Comb Sort,Sorted(Desc),10000,1.20,286738,60234,40000,Unstable,Unstable
Heap Sort,Partially Sorted,1000,0.00,17205,28302,4000,Unstable,Unstable
